day,month,year,daily_policy_index
7,10,2025,225.8
8,10,2025,354.2
9,10,2025,391.93
10,10,2025,314.78
11,10,2025,230.57
12,10,2025,571.89
13,10,2025,401.18
14,10,2025,444.68
15,10,2025,160.15
16,10,2025,363.38
17,10,2025,551.3
18,10,2025,304.61
19,10,2025,399.42
20,10,2025,338.92
21,10,2025,279.64
22,10,2025,490.22
23,10,2025,226.47
24,10,2025,327.22
25,10,2025,198.82
26,10,2025,483.74
27,10,2025,386.2
28,10,2025,269.14
29,10,2025,260.35
30,10,2025,280.03
31,10,2025,439.77
1,11,2025,495.89
2,11,2025,335.63
3,11,2025,5.39
4,11,2025,285.7
5,11,2025,300.81
6,11,2025,316.74
7,11,2025,337.82
8,11,2025,598.34
9,11,2025,494.36
10,11,2025,473.61
11,11,2025,332.87
12,11,2025,224.47
13,11,2025,475.99
14,11,2025,302.37
15,11,2025,255.94
16,11,2025,403.64
17,11,2025,575.78
18,11,2025,617.41
19,11,2025,226.6
20,11,2025,312.65
21,11,2025,265.43
22,11,2025,182.64
23,11,2025,354.59
24,11,2025,199.1
25,11,2025,323.74
26,11,2025,231.59
27,11,2025,334.67
28,11,2025,323.26
29,11,2025,168.25
30,11,2025,321.03
1,12,2025,257.88
2,12,2025,292.27
3,12,2025,357.52
4,12,2025,520.11
5,12,2025,236.11
6,12,2025,113.63
7,12,2025,354.92
8,12,2025,483.24
9,12,2025,583.98
10,12,2025,336.6
11,12,2025,524.45
12,12,2025,355.26
13,12,2025,629.56
14,12,2025,418.09
15,12,2025,254.98
16,12,2025,258.94
17,12,2025,230.87
18,12,2025,350.41
19,12,2025,313.6
20,12,2025,283.5
21,12,2025,547.81
22,12,2025,238.58
23,12,2025,264.35
24,12,2025,204.03
25,12,2025,181.39
26,12,2025,513.83
27,12,2025,281.48
28,12,2025,462.89
29,12,2025,445.72
30,12,2025,305.8
31,12,2025,307.63
1,1,2026,288.09
2,1,2026,296.92
3,1,2026,314.9
4,1,2026,552.46
5,1,2026,539.83
6,1,2026,251.35
7,1,2026,253.69
8,1,2026,474.73
9,1,2026,231.37
10,1,2026,310.71
11,1,2026,375.53
12,1,2026,281.74
13,1,2026,357.58
14,1,2026,369.14
15,1,2026,409.97
16,1,2026,257.45
17,1,2026,193.48
18,1,2026,349.32
19,1,2026,355.15
20,1,2026,360.3
21,1,2026,541.38
22,1,2026,474.48
23,1,2026,308.57
24,1,2026,410.43
25,1,2026,547.97
26,1,2026,289.49
27,1,2026,402.55
28,1,2026,343.94
29,1,2026,248.94
30,1,2026,211.46
31,1,2026,239.36
1,2,2026,298.23
2,2,2026,196.39
3,2,2026,321.6
4,2,2026,303.36
5,2,2026,291.35
6,2,2026,176.17
7,2,2026,523.6
8,2,2026,486.27
9,2,2026,221.9
10,2,2026,205.87
11,2,2026,251.66
12,2,2026,438.29
13,2,2026,337.34
14,2,2026,361.7
15,2,2026,343.98
16,2,2026,280.85
17,2,2026,278.08
18,2,2026,238.41
19,2,2026,493.8
20,2,2026,473.44
21,2,2026,412.53
22,2,2026,625.08
23,2,2026,695.45
24,2,2026,672.5
25,2,2026,369.27
26,2,2026,319.09
27,2,2026,320.15
28,2,2026,150.05
1,3,2026,380.69
2,3,2026,440.29
3,3,2026,544.62
4,3,2026,230.31
5,3,2026,387.92
6,3,2026,466.69
7,3,2026,392.88
8,3,2026,763.29
9,3,2026,479.74
10,3,2026,288.44
11,3,2026,420.76
12,3,2026,362.89
13,3,2026,450.36
14,3,2026,433.7
15,3,2026,486.49
16,3,2026,243.05
17,3,2026,325.57
18,3,2026,344.83
19,3,2026,373.18
20,3,2026,309.63
21,3,2026,493.16
22,3,2026,537.3
23,3,2026,351.01
24,3,2026,498.0
25,3,2026,275.07
26,3,2026,512.66
27,3,2026,304.6
28,3,2026,272.78
29,3,2026,476.88
30,3,2026,384.0
31,3,2026,385.82
1,4,2026,361.93
2,4,2026,266.07
3,4,2026,398.56
4,4,2026,267.95
5,4,2026,707.56
6,4,2026,255.16
7,4,2026,248.73
8,4,2026,239.05
9,4,2026,297.36
10,4,2026,271.19
11,4,2026,874.04
12,4,2026,355.29
13,4,2026,430.03
